City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto natales,-51.7236,-72.4875,13.25,38,75,6.69,CL,1733692955
83,remire-montjoly,4.9167,-52.2667,28.02,78,75,4.63,GF,1733692956
84,praia da vitoria,38.7333,-27.0667,18.14,82,75,6.53,PT,1733692957
85,cururupu,-1.8283,-44.8683,26.25,79,100,1.45,BR,1733692958
86,teguise,29.0605,-13.564,18.12,73,20,5.66,ES,1733692830
87,chonchi,-42.6128,-73.8092,12.67,58,100,1.2,CL,1733692961
88,ribeira grande,38.5167,-28.7,19.32,88,20,6.26,PT,1733692962
89,nova sintra,14.8667,-24.7167,24.86,69,100,7.01,CV,1733692963
90,fundao,-19.9341,-40.4047,26.67,80,99,1.05,BR,1733692964
91,watertown,42.3709,-71.1828,8.84,57,75,8.23,US,1733692882
92,swakopmund,-22.6833,14.5333,16.07,90,34,2.22,NA,1733692966
93,muynoq,43.7683,59.0214,-3.72,52,3,3.8,UZ,1733692969
94,fort mcmurray,56.7268,-111.381,-8.23,86,100,4.63,CA,1733692970
95,puerto ayora,-0.7393,-90.3518,23.64,92,34,3.58,EC,1733692971
96,georgetown,5.4112,100.3354,26.96,78,20,2.06,MY,1733692972
97,murzuq,25.9155,13.9184,12.58,33,26,3.72,LY,1733692973
98,kourou,5.1552,-52.6478,25.51,85,18,2.71,GF,1733692974
99,zhlobin,52.8926,30.024,-1.59,94,61,3.38,BY,1733692975
100,taltal,-25.4,-70.4833,19.52,65,42,3.6,CL,1733692820
101,qaqortoq,60.7167,-46.0333,-1.11,98,100,2.21,GL,1733692978
102,olonkinbyen,70.9221,-8.7187,0.12,96,100,14.26,SJ,1733692980
103,coxim,-18.5067,-54.76,27.36,71,100,1.83,BR,1733692981
104,margaret river,-33.95,115.0667,14.12,86,0,4.93,AU,1733692982
105,bilibino,68.0546,166.4372,-25.99,86,90,0.93,RU,1733692983
106,la'ie,21.6477,-157.9253,27.66,76,3,2.24,US,1733692984
107,tiksi,71.6872,128.8694,-23.82,97,100,2.33,RU,1733692985
108,pangody,65.85,74.4859,-15.28,92,95,6.52,RU,1733692986
109,bethel,41.3712,-73.414,9.76,53,100,2.24,US,1733692812
110,ghat,24.9647,10.1728,13.92,14,17,0.87,LY,1733692988
111,la passe,45.5549,-0.8967,8.22,78,100,10.69,FR,1733692989
112,invercargill,-46.4,168.35,12.23,78,55,4.02,NZ,1733692990
113,gulf breeze,30.3571,-87.1639,19.45,77,75,2.57,US,1733692739
114,hamilton,39.1834,-84.5333,14.23,56,75,6.17,US,1733692993
115,dudinka,69.4058,86.1778,-10.77,95,100,5.11,RU,1733692994
116,minas de marcona,-15.2119,-75.1103,17.55,70,92,8.16,PE,1733692995
117,yuzhno-kurilsk,44.0306,145.8556,0.41,57,100,10.05,RU,1733692996
118,pueblo west,38.35,-104.7227,16.21,27,73,5.81,US,1733692997
119,aasiaat,68.7098,-52.8699,-10.64,90,22,3.61,GL,1733692998
120,pisco,-13.7,-76.2167,23.03,64,75,11.32,PE,1733692999
121,paracuru,-3.41,-39.0306,26.83,78,47,4.71,BR,1733693000
122,saipan,15.1355,145.701,27.03,82,20,2.57,MP,1733693001
123,greenland,43.0362,-70.8328,7.36,66,100,2.57,US,1733693002
124,posto fiscal rolim de moura,-13.0833,-62.2667,27.53,83,99,0.8,BR,1733693004
125,codrington,-38.2667,141.9667,12.43,74,100,2.49,AU,1733693005
126,liwale,-9.7667,37.9333,21.29,94,90,1.57,TZ,1733693006
127,new norfolk,-42.7826,147.0587,15.51,68,100,2.92,AU,1733693007
128,happy valley-goose bay,53.3168,-60.3315,-14.83,78,75,2.57,CA,1733693008
129,kyabe,9.4515,18.9449,27.45,27,83,2.37,TD,1733693009
130,ilha de mocambique,-15.0342,40.7358,27.5,83,11,2.37,MZ,1733693010
131,albany,42.6001,-73.9662,6.3,73,100,0.89,US,1733692731
132,bayanhongor,46.7167,100.1167,-22.87,83,14,1.25,MN,1733693012
133,la ronge,55.1001,-105.2842,-2.86,93,100,2.06,CA,1733693014
134,pyshma,56.9523,63.2513,-11.44,89,14,2.78,RU,1733693015
135,hibbing,47.4272,-92.9377,0.05,97,100,4.12,US,1733693016
136,nar'yan-mar,67.6713,53.087,-6.59,93,100,7.52,RU,1733693017
137,rayleigh,51.5857,0.6046,8.66,88,75,7.2,GB,1733693018
138,salalah,17.0151,54.0924,26.05,29,0,3.6,OM,1733693019
139,tura,25.5198,90.2201,14.36,90,40,1.43,IN,1733693020
140,waitangi,-43.9535,-176.5597,16.57,96,100,5.81,NZ,1733692991
141,bredasdorp,-34.5322,20.0403,16.82,73,17,2.4,ZA,1733693022
142,constantia,44.1833,28.65,8.38,91,53,4.41,RO,1733693023
143,thai binh,20.45,106.3333,16.28,70,53,1.96,VN,1733693025
144,greymouth,-42.4667,171.2,14.45,77,22,4.87,NZ,1733693026
145,tralee,52.2704,-9.7026,3.31,88,14,2.01,IE,1733693027
146,youhao,47.8667,128.8333,-24.51,100,42,0.08,CN,1733692905
147,vacaria,-28.5122,-50.9339,12.66,97,100,4.35,BR,1733692938
148,midvagur,62.0511,-7.1939,5.46,70,100,5.66,FO,1733693030
149,san julian,21.0167,-102.1667,23.43,29,100,5.37,MX,1733693031
150,axim,4.8699,-2.2405,26.77,82,58,3.23,GH,1733693032
151,wailua homesteads,22.0669,-159.378,26.18,79,0,3.6,US,1733693033
152,minab,27.1467,57.0801,18.8,16,13,4.25,IR,1733693034
153,saskatoon,52.1168,-106.6345,-0.01,100,100,7.2,CA,1733692831
154,hanko,59.8333,22.95,0.47,83,95,4.92,FI,1733693037
155,salah bey,35.8545,5.2905,3.95,74,81,1.02,DZ,1733693038
156,smithers,54.7804,-127.1743,0.18,93,100,2.06,CA,1733693039
157,college,64.8569,-147.8028,-18.03,78,75,0.0,US,1733693040
158,nadvoitsy,63.8667,34.3167,-3.17,90,100,4.29,RU,1733693041
159,zdvinsk,54.7021,78.661,-23.85,100,54,1.83,RU,1733693043
160,karaj,35.8355,51.0103,3.88,45,100,0.0,IR,1733692772
